Support,Confidence,Num Items,
0.06,0.5,1546,3.18920949
0.06,0.6,1546,3.18920949
0.06,0.7,1546,3.18920949
0.06,0.8,1546,3.18920949
0.06,0.9,1546,3.18920949
0.07,0.5,109,2.037426498
0.07,0.6,109,2.037426498
0.07,0.7,109,2.037426498
0.07,0.8,109,2.037426498
0.07,0.9,109,2.037426498
0.08,0.5,4,0.602059991
0.08,0.6,4,0.602059991
0.08,0.7,4,0.602059991
0.08,0.8,4,0.602059991
0.08,0.9,4,0.602059991
0.09,0.5,1,0
0.09,0.6,1,0
0.09,0.7,1,0
0.09,0.8,1,0
0.09,0.9,1,0
0.1,0.5,0,0
0.1,0.6,0,0
0.1,0.7,0,0
0.1,0.8,0,0
0.1,0.9,0,0