Support,Confidence,AR's,Num Items
0.06,0.5,6210,3.7930916
0.06,0.6,6210,3.7930916
0.06,0.7,3400,3.531478917
0.06,0.8,2262,3.354492601
0.06,0.9,1652,3.218010043
0.07,0.5,250,2.397940009
0.07,0.6,250,2.397940009
0.07,0.7,250,2.397940009
0.07,0.8,66,1.819543936
0.07,0.9,22,1.342422681
0.08,0.5,8,0.903089987
0.08,0.6,8,0.903089987
0.08,0.7,8,0.903089987
0.08,0.8,8,0.903089987
0.08,0.9,2,0.301029996
0.09,0.5,2,0.301029996
0.09,0.6,2,0.301029996
0.09,0.7,2,0.301029996
0.09,0.8,2,0.301029996
0.09,0.9,2,0.301029996
0.1,0.5,0,0
0.1,0.6,0,0
0.1,0.7,0,0
0.1,0.8,0,0
0.1,0.9,0,0