,S_euc,D_euc,S/D_euc,S_cos,D_cos,S/D_cos,,,,,,,,,,S/D_euc
2,170.676313,31.91994379,5.347011705,170.676313,31.91994379,5.347011705,,,,,,,,,2,5.347011705
3,235.0362673,6.358215283,36.96576113,235.0362673,6.358215283,36.96576113,,,,,,,,,3,36.96576113
4,241.2053755,15.50860728,15.55300041,239.2530299,12.86062481,18.60353081,,,,,,,,,4,15.55300041
5,333.0771039,57.85120189,5.757479413,328.962218,56.22696282,5.850613327,,,,,,,,,5,5.757479413
6,313.995077,36.20590436,8.672482639,339.456423,61.17983474,5.548501797,,,,,,,,,6,8.672482639
7,322.327727,39.74205276,8.110495169,351.6968884,60.11675665,5.850230585,,,,,,,,,7,8.110495169
8,327.9200266,41.54178493,7.893739451,358.3408719,37.1569708,9.643974312,,,,,,,,,8,7.893739451
9,354.0000603,51.61991603,6.857819375,338.8258071,33.76945963,10.03349804,,,,,,,,,9,6.857819375
10,372.4646655,49.0942628,7.58672489,350.7083604,35.99848347,9.742309302,,,,,,,,,10,7.58672489
11,370.9025877,57.38190367,6.463755365,378.9759838,61.70488331,6.141750271,,,,,,,,,11,6.463755365
12,358.3309403,66.30556056,5.404236647,380.9710929,74.41871264,5.119291633,,,,,,,,,12,5.404236647
13,530.8392335,54.78173884,9.690076378,421.5484016,87.09252014,4.840236577,,,,,,,,,13,9.690076378
14,430.5823035,81.53170442,5.281164015,479.6274256,102.0928887,4.697951362,,,,,,,,,14,5.281164015
15,511.7381526,117.343354,4.361032262,466.5297017,127.3665449,3.662890455,,,,,,,,,15,4.361032262
16,473.8581609,141.3178011,3.35313851,490.8106881,147.3887931,3.330040757,,,,,,,,,16,3.35313851
17,483.5231422,152.4079493,3.172558547,493.3411002,125.0314459,3.945736185,,,,,,,,,17,3.172558547
18,539.7170937,133.4998755,4.042828443,526.8986723,125.3412548,4.203713081,,,,,,,,,18,4.042828443
19,598.5383478,183.4587369,3.262522996,577.7673897,202.9474558,2.84688166,,,,,,,,,19,3.262522996
20,539.033408,203.6229504,2.647213426,548.8793793,227.8172274,2.409297073,,,,,,,,,20,2.647213426
21,591.5279232,196.6836625,3.007509194,617.8378185,209.860728,2.944037336,,,,,,,,,21,3.007509194
22,594.5759749,227.5230325,2.613256198,614.4548218,228.803355,2.685514913,,,,,,,,,22,2.613256198
23,652.6409866,260.4169749,2.506138422,620.6614243,218.4378901,2.841363392,,,,,,,,,23,2.506138422
24,731.6014695,277.3055781,2.638250101,741.0355356,305.3480844,2.426855033,,,,,,,,,24,2.638250101
25,759.6590836,325.1864258,2.336072552,690.2374314,308.020059,2.24088468,,,,,,,,,25,2.336072552
26,771.4173017,329.1532952,2.343641436,788.6459506,319.3800732,2.469302304,,,,,,,,,26,2.343641436
27,842.7379684,337.1298589,2.499742892,733.4100069,308.0792489,2.380588791,,,,,,,,,27,2.499742892
28,836.6066659,324.3007509,2.579724726,902.6355597,358.8967801,2.515028303,,,,,,,,,28,2.579724726
29,848.0695752,444.6884048,1.907109711,847.1086521,374.8720068,2.259727685,,,,,,,,,29,1.907109711
30,892.7090005,412.3420229,2.164972161,886.8818294,431.5961329,2.054888267,,,,,,,,,30,2.164972161
31,934.1025903,412.6042615,2.263918911,944.3484581,355.1333045,2.659137981,,,,,,,,,31,2.263918911
32,945.3403798,462.832643,2.042510169,1004.685628,426.1374663,2.357656172,,,,,,,,,32,2.042510169
33,1086.27153,404.8627255,2.683061348,1077.287117,421.4838961,2.555938973,,,,,,,,,33,2.683061348
34,1110.122519,594.3954271,1.867649831,1024.769478,543.276478,1.886276177,,,,,,,,,34,1.867649831
35,1103.94604,565.7185986,1.951404891,1099.179295,579.1558742,1.897898897,,,,,,,,,35,1.951404891
36,1121.324234,613.9817793,1.826315164,1231.589909,612.5957432,2.010444772,,,,,,,,,36,1.826315164
37,1323.192744,592.5910355,2.232893622,1205.964564,613.6963228,1.965083576,,,,,,,,,37,2.232893622
38,1322.254172,715.5771923,1.847814863,1292.996663,744.9671859,1.735642438,,,,,,,,,38,1.847814863
39,1335.116735,722.4451885,1.848052636,1290.976237,709.5887751,1.819330127,,,,,,,,,39,1.848052636
40,1336.702908,750.7857237,1.780405335,1282.401245,765.265164,1.675760645,,,,,,,,,40,1.780405335
41,1386.445549,723.5771828,1.916099045,1383.848527,701.9766534,1.97135976,,,,,,,,,41,1.916099045
42,1416.010288,757.8298098,1.868506978,1477.549108,803.4775393,1.83894264,,,,,,,,,42,1.868506978
43,1479.406847,768.452395,1.925176962,1512.731029,785.4921971,1.925838391,,,,,,,,,43,1.925176962
44,1486.47839,826.5818379,1.79834388,1609.331826,758.950363,2.120470461,,,,,,,,,44,1.79834388
45,1575.875173,867.6797531,1.816194474,1646.096537,880.7801514,1.868907394,,,,,,,,,45,1.816194474
46,1664.236443,944.8545532,1.76136786,1719.953077,951.2339601,1.808128336,,,,,,,,,46,1.76136786
47,1682.335073,999.9664164,1.682391574,1804.522182,1016.090333,1.775946609,,,,,,,,,47,1.682391574
48,1830.028508,904.7579897,2.022671841,1824.892666,946.1721349,1.928711065,,,,,,,,,48,2.022671841
49,1810.888574,1080.482354,1.676000139,1877.258886,1072.689725,1.750048353,,,,,,,,,49,1.676000139
50,1802.823333,821.2563201,2.195201777,1928.765088,1020.475697,1.890064696,,,,,,,,,50,2.195201777
51,1968.200176,1224.70443,1.607081781,2042.967545,1128.174351,1.810861542,,,,,,,,,51,1.607081781
52,2092.691987,1158.38305,1.806563025,2136.21277,1142.207264,1.87024968,,,,,,,,,52,1.806563025
53,2187.729245,1188.797596,1.840287407,2083.028652,1241.777705,1.677456959,,,,,,,,,53,1.840287407
54,2123.736172,1249.541225,1.699612729,2168.589101,1218.165677,1.78020867,,,,,,,,,54,1.699612729
55,2339.381824,1344.41822,1.740070009,2250.627425,1455.733912,1.546043138,,,,,,,,,55,1.740070009
56,2255.966524,1296.588817,1.739924403,2332.559102,1253.087038,1.861450187,,,,,,,,,56,1.739924403
57,2295.908336,1511.88187,1.518576538,2295.102335,1360.908775,1.686448333,,,,,,,,,57,1.518576538
58,2429.595485,1422.218649,1.708313617,2479.970696,1329.488246,1.865357369,,,,,,,,,58,1.708313617
59,2680.140127,1548.434659,1.730870665,2609.951512,1397.38982,1.867733309,,,,,,,,,59,1.730870665
60,2544.283327,1591.789605,1.598379156,2649.659994,1836.269281,1.442958297,,,,,,,,,60,1.598379156
61,2636.808783,1706.217778,1.545411621,2709.368237,1590.521193,1.7034468,,,,,,,,,61,1.545411621
62,2855.238182,1602.192237,1.782082147,2733.284798,1673.510864,1.633263851,,,,,,,,,62,1.782082147
63,2850.357723,1701.689108,1.675016729,2944.3311,1575.636448,1.868661456,,,,,,,,,63,1.675016729
64,2943.74852,1584.25185,1.85813166,2874.2898,1714.688451,1.676275243,,,,,,,,,64,1.85813166
65,3048.412229,1714.248302,1.778279276,3012.382987,1789.935785,1.682955899,,,,,,,,,65,1.778279276
66,3106.427436,1985.753237,1.564357232,3220.755833,1934.292846,1.66508181,,,,,,,,,66,1.564357232
67,3222.61089,2016.140047,1.598406269,2916.338701,1962.331561,1.486160014,,,,,,,,,67,1.598406269
68,3415.949752,1847.122761,1.849335531,3331.628396,1937.805231,1.719279288,,,,,,,,,68,1.849335531
69,3517.394128,2236.008805,1.573068103,3362.97901,2128.519103,1.579961864,,,,,,,,,69,1.573068103
70,3489.0503,2060.781293,1.693071609,3445.079452,2016.109885,1.708775636,,,,,,,,,70,1.693071609
71,3432.158148,2203.481157,1.557607215,3525.225932,2180.698567,1.6165581,,,,,,,,,71,1.557607215
72,3701.084225,2336.44065,1.584069437,3644.452708,2253.281217,1.617398077,,,,,,,,,72,1.584069437
73,3644.687549,2381.736298,1.530264938,3752.91835,2445.617683,1.534548256,,,,,,,,,73,1.530264938
74,3796.94961,2222.74269,1.70822724,3737.21721,2319.522708,1.611200958,,,,,,,,,74,1.70822724
75,4061.058188,2528.956918,1.605823396,3926.96221,2462.054267,1.594994174,,,,,,,,,75,1.605823396
76,4049.493396,2779.249317,1.457045747,4107.037888,2573.024044,1.596191025,,,,,,,,,76,1.457045747
77,4006.802486,2759.615628,1.451942236,4130.600979,2547.96919,1.621134587,,,,,,,,,77,1.451942236
78,4112.499356,2885.850158,1.425056441,4074.810572,2702.246126,1.507934652,,,,,,,,,78,1.425056441
79,4267.65133,2913.773051,1.464647814,4389.346017,2880.937744,1.523582391,,,,,,,,,79,1.464647814
80,4430.010878,2825.446954,1.567897381,4592.12414,3115.67893,1.473875917,,,,,,,,,80,1.567897381
81,4527.749604,3104.06665,1.458650897,4575.069144,2950.114521,1.550810693,,,,,,,,,81,1.458650897
82,4690.998302,3198.995968,1.466397066,4479.605846,2973.976976,1.50626783,,,,,,,,,82,1.466397066
83,4854.475525,3055.491274,1.588770868,4777.204331,3142.464742,1.520209365,,,,,,,,,83,1.588770868
84,4825.170548,2817.795002,1.712392329,4709.541505,3119.614577,1.509654923,,,,,,,,,84,1.712392329
85,5125.549869,3204.064348,1.599702538,4866.406467,2968.729921,1.639221686,,,,,,,,,85,1.599702538
86,5066.816348,3312.843841,1.529446177,4942.854324,3247.888274,1.521867105,,,,,,,,,86,1.529446177
87,5099.272802,3423.733205,1.489389651,5009.098075,3225.507577,1.552964287,,,,,,,,,87,1.489389651
88,5298.301426,3185.096635,1.66346646,5255.648513,3417.706224,1.537770706,,,,,,,,,88,1.66346646
89,5511.080852,3655.726368,1.507520065,5384.126411,3536.133063,1.522602887,,,,,,,,,89,1.507520065
90,5517.030648,3591.573756,1.536103954,5603.977435,3569.024298,1.570170715,,,,,,,,,90,1.536103954
91,5673.837332,3578.983325,1.585320974,5726.085019,3669.171649,1.560593389,,,,,,,,,91,1.585320974
92,5724.650198,3860.635834,1.482825743,5760.092427,3612.97403,1.594280053,,,,,,,,,92,1.482825743
93,5903.229082,4154.171831,1.421036327,5823.028193,4160.403555,1.399630617,,,,,,,,,93,1.421036327
94,6079.534616,3857.79825,1.575907868,5983.942719,3862.341011,1.549304606,,,,,,,,,94,1.575907868
95,6202.166634,4068.566845,1.524410651,6205.514835,3914.923425,1.585092264,,,,,,,,,95,1.524410651
96,6299.380789,4335.739133,1.452896633,6314.908414,4209.142484,1.500283832,,,,,,,,,96,1.452896633
97,6283.331536,4137.696389,1.518557899,6423.677289,4295.472322,1.495453074,,,,,,,,,97,1.518557899
98,6498.013644,4167.041564,1.559382968,6675.710072,4435.65772,1.505010191,,,,,,,,,98,1.559382968
99,6628.815638,4359.380399,1.52058665,6532.515384,4382.732637,1.490511953,,,,,,,,,99,1.52058665
100,6685.095975,4406.339259,1.517154169,6843.730071,4543.14076,1.506387416,,,,,,,,,100,1.517154169